Site,Round,Side,Distance,Soil C
Black,Before,Close,0,151.1
Black,Before,Close,10,111.5
Black,Before,Close,20,126.9
Black,Before,Far,0,300.6
Black,Before,Far,10,146.7
Black,Before,Far,20,79.48
Oathill,Before,Close,0,85.48
Oathill,Before,Close,10,22.48
Oathill,Before,Close,20,20.18
Oathill,Before,Far,0,305.8
Oathill,Before,Far,10,225.3
Oathill,Before,Far,20,121.2
Spectacle,Before,Close,0,421.5
Spectacle,Before,Close,10,182.2
Spectacle,Before,Close,20,92.06
Spectacle,Before,Far,0,150.7
Spectacle,Before,Far,10,113.4
Spectacle,Before,Far,20,108
Topsail,Before,Close,0,95.97
Topsail,Before,Close,10,213.3
Topsail,Before,Close,20,59.46
Topsail,Before,Far,0,153.5
Topsail,Before,Far,10,141.4
Topsail,Before,Far,20,159
Lemont,Before,Close,0,41.9
Lemont,Before,Close,10,51.81
Lemont,Before,Close,20,48.47
Lemont,Before,Far,0,51.12
Lemont,Before,Far,10,66.21
Lemont,Before,Far,20,48.85
Black,After,Close,0,88.53
Black,After,Close,10,88.49
Black,After,Close,20,86.15
Black,After,Far,0,147.7
Black,After,Far,10,99.96
Black,After,Far,20,60.44
Oathill,After,Close,0,44.72
Oathill,After,Close,10,39.74
Oathill,After,Close,20,163
Oathill,After,Far,0,246.1
Oathill,After,Far,10,101
Oathill,After,Far,20,104.3
Spectacle,After,Close,0,113.3
Spectacle,After,Close,10,134.2
Spectacle,After,Close,20,116.8
Spectacle,After,Far,0,116.7
Spectacle,After,Far,10,98.2
Spectacle,After,Far,20,75.58
Topsail,After,Close,0,94.63
Topsail,After,Close,10,110.3
Topsail,After,Close,20,62.14
Topsail,After,Far,0,88.5
Topsail,After,Far,10,104.2
Topsail,After,Far,20,185.5
Lemont,After,Close,0,47.12
Lemont,After,Close,10,21.46
Lemont,After,Close,20,41.83
Lemont,After,Far,0,48.36
Lemont,After,Far,10,65.52
Lemont,After,Far,20,27.68